Indice;Data_Hora;T1_C;T2_C;Bateria_V;Rede;Porta;Alarme;Compressor;Status
0;2026-01-22 16:09:33;5.1;4.1;13.3;1;1;0;0;00
1;2026-01-22 16:09:32;5.2;4.1;13.4;1;0;0;0;00
2;2026-01-22 16:14:32;5.0;4.2;13.3;1;1;0;1;00
3;2026-01-22 16:14:32;5.0;4.2;13.3;1;0;0;0;00
4;2026-01-22 16:15:32;5.0;4.2;13.4;1;1;0;0;00
5;2026-01-22 16:15:33;5.1;4.2;13.4;1;0;0;0;00
6;2026-01-22 16:27:32;5.1;4.2;13.3;1;0;0;0;00
7;2026-01-22 16:39:36;5.0;4.1;13.3;1;0;0;0;00
8;2026-01-22 16:51:38;4.8;4.2;13.3;1;0;0;0;00
9;2026-01-22 17:03:33;4.8;4.3;13.3;1;0;0;0;00
10;2026-01-22 17:16:32;4.8;4.2;13.3;1;0;0;0;00
11;2026-01-22 17:28:32;4.7;4.3;13.4;1;0;0;0;00
12;2026-01-22 17:40:18;4.7;4.3;13.4;1;0;0;0;00
13;2026-01-22 17:52:33;4.7;4.2;13.3;1;0;0;0;00
14;2026-01-22 18:04:32;5.0;4.4;13.4;1;0;0;0;00
15;2026-01-22 18:16:45;5.2;4.3;14.0;1;0;0;1;00
16;2026-01-22 18:28:33;5.4;4.3;13.3;1;0;0;1;00
17;2026-01-22 18:40:33;5.6;4.2;13.3;1;0;0;1;00
18;2026-01-22 18:45:33;4.8;4.2;13.3;1;1;0;0;00
19;2026-01-22 18:45:33;4.8;4.1;13.3;1;0;0;0;00
20;2026-01-22 18:46:33;5.2;4.1;13.3;1;1;0;0;00
21;2026-01-22 18:46:32;5.1;4.1;13.3;1;0;0;0;00
22;2026-01-22 18:58:01;5.6;4.1;13.3;1;0;0;0;00
23;2026-01-22 19:10:13;5.4;4.2;13.3;1;0;0;0;00
24;2026-01-22 19:15:32;5.6;4.3;13.9;1;1;0;1;00
25;2026-01-22 19:15:33;5.6;4.3;13.7;1;0;0;1;00
26;2026-01-22 19:27:32;5.9;4.3;13.3;1;0;0;1;00
27;2026-01-22 19:39:32;6.0;4.3;13.7;1;0;0;1;00
28;2026-01-22 19:51:33;5.8;4.2;13.3;1;0;0;0;00
29;2026-01-22 20:03:33;5.7;4.0;13.4;1;0;0;0;00
30;2026-01-22 20:15:14;5.4;4.1;13.3;1;0;0;0;00
31;2026-01-22 20:27:32;5.2;4.2;13.4;1;0;0;0;00
32;2026-01-22 20:39:33;5.0;4.1;13.4;1;0;0;0;00
33;2026-01-22 20:51:38;4.8;4.2;13.3;1;0;0;0;00
34;2026-01-22 21:03:32;4.6;4.3;13.4;1;0;0;0;00
35;2026-01-22 21:15:32;4.6;4.2;13.4;1;0;0;0;00
36;2026-01-22 21:27:33;4.7;4.2;13.4;1;0;0;0;00
37;2026-01-22 21:39:33;4.8;4.2;13.3;1;0;0;0;00
38;2026-01-22 21:51:32;4.8;4.2;13.4;1;0;0;0;00
39;2026-01-22 22:04:48;5.1;4.3;14.0;1;0;0;1;00
40;2026-01-22 22:16:33;5.4;4.3;13.6;1;0;0;1;00
41;2026-01-22 22:28:04;5.8;4.3;13.3;1;0;0;1;00
42;2026-01-22 22:40:32;5.9;4.3;13.3;1;0;0;1;00
43;2026-01-22 22:52:32;6.1;4.2;14.0;1;0;0;1;00
44;2026-01-22 23:04:33;6.0;4.2;13.3;1;0;0;0;00
45;2026-01-22 23:16:33;5.9;4.1;13.3;1;0;0;0;00
46;2026-01-22 23:28:32;5.8;4.1;13.3;1;0;0;0;00
47;2026-01-22 23:40:32;5.5;4.1;13.3;1;0;0;0;00
48;2026-01-22 23:52:14;5.3;4.0;13.4;1;0;0;0;00
49;2026-01-23 00:04:33;5.2;4.1;13.3;1;0;0;0;00
50;2026-01-23 00:16:01;4.8;4.1;13.3;1;0;0;0;00
51;2026-01-23 00:28:33;4.6;4.2;13.4;1;0;0;0;00
52;2026-01-23 00:40:33;4.7;4.1;13.3;1;0;0;0;00
53;2026-01-23 00:52:32;4.7;4.2;13.4;1;0;0;0;00
54;2026-01-23 01:05:14;4.8;4.3;13.3;1;0;0;0;00
55;2026-01-23 01:17:33;5.2;4.5;14.1;1;0;0;1;00
56;2026-01-23 01:29:32;5.6;4.3;13.8;1;0;0;1;00
57;2026-01-23 01:41:00;5.9;4.2;13.3;1;0;0;1;00
58;2026-01-23 01:53:33;6.0;4.2;14.1;1;0;0;1;00
59;2026-01-23 02:05:33;6.0;4.1;13.3;1;0;0;0;00
60;2026-01-23 02:17:32;6.1;4.2;14.5;1;0;0;1;00
61;2026-01-23 02:29:14;5.9;4.2;13.4;1;0;0;0;00
62;2026-01-23 02:41:33;5.8;4.1;13.4;1;0;0;0;00
63;2026-01-23 02:53:20;5.5;4.2;13.3;1;0;0;0;00
64;2026-01-23 03:05:53;5.5;4.1;13.4;1;0;0;0;00
65;2026-01-23 03:17:32;5.3;4.0;13.4;1;0;0;0;00
66;2026-01-23 03:29:33;5.0;4.0;13.3;1;0;0;0;00
67;2026-01-23 03:41:36;4.9;4.1;13.3;1;0;0;0;00
68;2026-01-23 03:54:00;4.9;4.1;13.3;1;0;0;0;00
69;2026-01-23 04:06:13;4.8;4.1;13.3;1;0;0;0;00
70;2026-01-23 04:18:14;4.7;4.1;13.3;1;0;0;0;00
71;2026-01-23 04:30:30;4.7;4.2;13.3;1;0;0;0;00
72;2026-01-23 04:42:18;4.8;4.2;13.3;1;0;0;0;00
73;2026-01-23 04:54:32;5.1;4.4;13.5;1;0;0;1;00
74;2026-01-23 05:06:33;5.5;4.3;13.3;1;0;0;1;00
75;2026-01-23 05:18:18;5.5;4.2;14.2;1;0;0;1;00
76;2026-01-23 05:30:32;5.6;4.2;13.4;1;0;0;1;00
77;2026-01-23 05:42:20;5.9;4.2;13.3;1;0;0;1;00
78;2026-01-23 05:54:33;6.0;4.2;13.5;1;0;0;1;00
79;2026-01-23 06:06:33;6.0;4.1;13.3;1;0;0;0;00
80;2026-01-23 06:18:32;5.8;4.1;13.3;1;0;0;0;00
81;2026-01-23 06:30:32;5.7;4.0;13.3;1;0;0;0;00
82;2026-01-23 06:42:33;5.6;4.1;13.3;1;0;0;0;00
83;2026-01-23 06:55:33;5.5;4.2;13.3;1;0;0;0;00
84;2026-01-23 07:07:00;5.2;4.1;13.3;1;0;0;0;00
85;2026-01-23 07:19:48;5.0;4.1;13.3;1;0;0;0;00
86;2026-01-23 07:31:33;4.8;4.1;13.3;1;0;0;0;00
87;2026-01-23 07:43:33;4.7;4.1;13.3;1;0;0;0;00
88;2026-01-23 07:55:33;4.6;4.2;13.3;1;0;0;0;00
89;2026-01-23 08:07:33;4.6;4.2;13.3;1;0;0;0;00
90;2026-01-23 08:19:32;4.7;4.2;13.3;1;0;0;0;00
91;2026-01-23 08:31:33;4.8;4.3;13.4;1;0;0;0;00
92;2026-01-23 08:43:38;4.9;4.3;13.3;1;0;0;0;00
93;2026-01-23 08:55:01;5.1;4.3;13.3;1;0;0;1;00
94;2026-01-23 09:07:20;5.3;4.4;13.3;1;0;0;1;00
95;2026-01-23 09:19:32;5.5;4.3;13.3;1;0;0;1;00
96;2026-01-23 09:31:33;5.7;4.3;13.3;1;0;0;1;00
97;2026-01-23 09:44:33;5.8;4.3;13.5;1;0;0;1;00
98;2026-01-23 09:56:32;5.9;4.2;14.0;1;0;0;1;00
99;2026-01-23 10:08:32;5.9;4.3;14.7;1;0;0;1;00
100;2026-01-23 10:20:01;6.1;4.2;13.3;1;0;0;1;00
101;2026-01-23 10:32:11;6.0;4.2;13.3;1;0;0;0;00
102;2026-01-23 10:44:32;5.9;4.1;13.3;1;0;0;0;00
103;2026-01-23 10:56:18;5.8;4.1;13.3;1;0;0;0;00
104;2026-01-23 11:08:33;5.6;4.1;13.3;1;0;0;0;00
105;2026-01-23 11:20:33;5.5;4.0;13.3;1;0;0;0;00
